MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
SLPBA890190HV,1C,5,3.8V,4.35V,26000,200,402.0±10.0,0.7±0.2,189.0±1.0,89.0±1.0,10.5±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB9564159,10A,15,3.7V,4.2V,10000,160,194.0±3.0,0.9±0.2,158.0±1.0,64.0±1.0,8.9±0.3,29±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB8834076,2C,20,3.7V,4.2V,2200,64,46.5±1.5,2.4±0.5,78.0±0.5,34.0±0.5,8.3±0.3,17±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBB090215HV,1C,3,3.8V,4.35V,30000,200,458.0±10.0,0.8±0.2,214.0±1.0,89.0±1.0,10.7±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB8770175,10A,10,3.7V,4.2V,12000,144,223.0±5.0,1.0±0.2,173.0±1.0,69.0±1.0,8.4±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
LFP4465134,1C,1,3.2V,3.65V,3000,40,67.0±2.5,7.5±1.5,133.0±0.5,63.0±0.5,4.1±0.2,35±1,LiFePO4,10.0±1.0,10,0.1,8.3±0.2,
LFP9230085,1C,1,3.2V,3.65V,2000,16,42.5±2.0,12.0±3.0,85.5±0.5,29.5±0.5,8.5±0.3,13.5±1,LiFePO4,17.0±1.0,4,0.1,4.0±0.2,
LFP6543080,1C,1,3.2V,3.65V,1850,16,40.5±2.0,7.8±3.0,80.0±0.5,43.0±0.5,6.3±0.2,22.5±1,LiFePO4,17.0±1.0,4,0.1,4.0±0.2,
SLPB6518055,1C,40,3.7V,4.2V,480,32,12.0±1.0,4.8±1.0,55.0±0.5,18.0±0.5,6.3±0.2,7.5±0.5,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB9990190HV,10A,8,3.8V,4.35V,21000,200,355.0±5.0,0.8±0.2,189.0±1.0,89.0±1.0,9.3±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB8265146,10A,10,3.7V,4.2V,9700,144,170.0±3.0,1.1±0.2,145.5±1.0,64.5±1.0,7.9±0.3,30±1,LCO,10.0±1.0,18,0.2,5.0±0.2,
SLPBA875175,10A,15,3.7V,4.2V,16800,200,304.0±5.0,0.6±0.2,174.0±1.0,74.0±1.0,10.5±0.3,40±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPBA790190HV,1C,5,3.8V,4.35V,24500,200,391.0±10.0,0.7±0.2,189.0±1.0,89.0±1.0,10.3±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPBA475175HV,10A,8,3.8V,4.35V,17800,200,288.0±5.0,0.9±0.2,174.0±1.0,74.0±1.0,10.1±0.3,38±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB6551143,2C,35,3.7V,4.2V,4400,120,100.0±2.5,1.1±0.2,145.0±0.5,50.5±0.5,6.1±0.2,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7149135,2C,35,3.7V,4.2V,4400,120,100.0±2.5,1.1±0.2,136.0±0.5,49.0±0.5,6.7±0.3,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5935062,1C,25,3.7V,4.2V,1100,64,24.0±1.5,4.1±0.8,62.5±0.5,35.0±0.5,5.3±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA495183,10A,15,3.7V,4.2V,22000,200,393.0±5.0,0.6±0.2,182.0±1.0,94.5±1.0,10.1±0.3,45±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB5334055,1C,8,3.7V,4.2V,1000,48,19.5±1.5,7.4±1.5,56.5±0.5,34.5±0.5,4.9±0.2,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
LFP9645090,2C,10,3.2V,3.65V,3200,80,73.0±2.0,3.3±0.7,91.0±0.5,45.0±0.5,9.3±0.3,18±1,LiFePO4,10.0±1.0,10,0.2,5.0±0.2,
SLPB6420035,1C,15,3.7V,4.2V,350,12,7.8±0.5,20.0±4.0,36.0±0.5,19.5±0.5,6.2±0.2,8.5±0.5,LCO,17.0±1.0,3,0.1,4.0±0.2,
SLPB97C0200HV,10A,8,3.8V,4.35V,30000,200,495.0±10.0,0.6±0.2,199.0±1.0,118.5±1.0,9.4±0.3,50±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPBA1C0200,10A,8,3.7V,4.2V,29500,200,524.0±5.0,0.6±0.2,199.0±1.0,118.5±1.0,9.7±0.3,50±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB8870175,10A,20,3.7V,4.2V,11300,160,228.0±5.0,0.8±0.2,173.5±1.0,69.0±1.0,8.5±0.3,32±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPBA242126,10A,30,3.7V,4.2V,5000,96,109.0±2.5,1.1±0.2,127.5±0.5,42.0±0.5,9.6±0.3,18±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8142126,10A,15,3.7V,4.2V,5000,96,96.0±2.5,1.6±0.3,127.0±0.5,42.0±0.5,7.8±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6024064,1C,10,3.7V,4.2V,850,20,17.0±1.5,9.3±1.9,64.5±0.5,24.3±0.5,5.5±0.2,11±1,LCO,10.0±1.0,5,0.1,4.0±0.2,
LFP5046094,2C,20,3.2V,3.65V,1600,48,39.5±1.5,4.0±2.0,95.0±0.5,46.0±0.5,4.8±0.2,18±1,LiFePO4,10.0±1.0,6,0.2,5.0±0.2,
LFP4846094,2C,20,3.2V,3.65V,1500,48,38.0±1.5,4.5±2.3,95.0±0.5,46.0±0.5,4.6±0.2,18±1,LiFePO4,10.0±1.0,6,0.2,5.0±0.2,
SLPB6570196,10A,10,3.7V,4.2V,10000,160,188.0±5.0,1.1±0.2,195.0±1.0,69.0±1.0,6.3±0.2,35±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB7655270,1C,5,3.7V,4.2V,15000,120,246.0±5.0,1.3±0.2,270.0±0.5,53.5±0.5,7.3±0.3,29±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
LFP5564074,2C,25,3.2V,3.65V,1700,120,47.±2.0,2.0±1.0,74.0±0.5,64.0±0.5,5.3±0.2,35±1,LiFePO4,10.0±1.0,15,0.2,5.0±0.2,
SLPB93A6213,10A,25,3.7V,4.2V,22000,320,460.0±10.0,0.5±0.2,212.0±1.0,105.5±1.0,9.0±0.3,55±1,LCO,10.0±1.0,40,0.2,8.3±0.2,
SLPB9095183,10A,25,3.7V,4.2V,16000,280,338.0±5.0,0.6±0.2,182.0±1.0,94.0±1.0,8.7±0.3,50±1,LCO,10.0±1.0,35,0.2,8.3±0.2,
SLPB4115025,1C,20,3.7V,4.2V,75,8,2.2±0.3,35.0±7.0,25.5±0.5,15.0±0.5,3.9±0.2,5.5±0.5,LCO,17.0±1.0,2,0.1,4.0±0.2,
SLPB5015025,1C,20,3.7V,4.2V,100,8,2.7±0.3,32.0±6.4,26.0±0.5,15.0±0.5,4.8±0.2,5.5±0.5,LCO,17.0±1.0,2,0.1,4.0±0.2,
SLPB6115025,1C,20,3.7V,4.2V,130,8,3.4±0.3,30.0±6.0,26.0±0.5,15.0±0.5,5.9±0.2,5.5±0.5,LCO,17.0±1.0,2,0.1,4.0±0.2,
SLPB6542126,2C,15,3.7V,4.2V,3900,80,75.5±2.0,1.9±0.4,127.0±0.5,42.0±0.5,6.3±0.2,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6542126,2C,15,3.7V,4.2V,3700,80,73.5±2.0,2.0±0.5,127.0±0.5,42.0±0.5,6.3±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA6C0200HV,10A,8,3.8V,4.35V,32000,200,537.0±10.0,0.5±0.2,199.0±1.0,119.0±1.0,10.2±0.3,50±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB8559156,1C,5,3.7V,4.2V,10000,60,170.0±3.0,1.9±0.3,156.5±0.5,59.0±0.5,8.2±0.3,33±1,LCO,10.0±1.0,15,0.1,5.0±0.2,
LFP6735062,1C,10,3.2V,3.65V,1100,32,25.5±1.5,10.0±5.0,63.0±0.5,35.0±0.5,6.5±0.2,16±1,LiFePO4,10.0±1.0,8,0.1,5.0±0.2,
LFP8034096,2C,10,3.2V,3.65V,2100,80,48.5±2.0,5.0±2.5,97.0±0.5,33.5±0.5,7.7±0.3,16±1,LiFePO4,10.0±1.0,10,0.2,5.0±0.2,
SLPB8570175,10A,10,3.7V,4.2V,12000,144,221.0±5.0,1.0±0.3,173.0±1.0,69.0±1.0,8.2±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB8564159,1C,5,3.7V,4.2V,10000,120,171.0±3.0,1.4±0.3,158.0±1.0,63.5±1.0,7.8±0.3,29±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB7774240HV,1C,5,3.8V,4.35V,18500,200,292.0±5.0,0.9±0.2,239.0±1.0,73.5±1.0,7.3±0.3,39±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPBA175175HV,10A,10,3.8V,4.35V,16000,200,280.0±5.0,0.8±0.2,174.0±1.0,74.0±1.0,9.8±0.3,38±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB5572196,10A,8,3.7V,4.2V,8900,96,165.0±3.0,1.4±0.3,195.5±1.0,72.0±1.0,5.3±0.2,26±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9159156,1C,5,3.7V,4.2V,10000,60,170.0±5.0,1.9±0.3,156.0±1.0,58.5±1.0,8.3±0.3,33±1,LCO,10.0±1.0,15,0.1,5.0±0.2,
SLPB8242124,2C,35,3.7V,4.2V,4000,80,92.0±2.5,1.2±0.2,125.0±0.5,42.0±0.5,7.9±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA442124,10A,35,3.7V,4.2V,5000,120,113.0±2.5,0.9±0.3,125.5±0.5,42.0±0.5,9.7±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
LFP8767100,1C,1,3.2V,3.65V,5000,40,107.0±3.0,3.8±1.9,100.0±0.5,66.5±0.5,8.1±0.3,36±1,LiFePO4,10.0±1.0,10,0.1,5.0±0.2,
LFP5967105,1C,1,3.2V,3.65V,3300,40,72.0±3.0,8.0±4.0,103.5±0.5,67.0±0.5,5.6±0.2,36±1,LiFePO4,10.0±1.0,10,0.1,8.3±0.2,
SLPB9345135,10A,15,3.7V,4.2V,6100,120,119.0±2.5,1.3±0.3,135.5±0.5,45.0±0.5,8.8±0.3,20±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9542140,10A,25,3.7V,4.2V,5800,120,120.0±3.0,1.3±0.3,140.0±0.5,42.0±0.5,9.2±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9042126,10A,20,3.7V,4.2V,5000,96,102.5±3.0,1.4±0.3,127.5±0.5,42.0±0.5,8.7±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8042124,2C,25,3.7V,4.2V,4000,80,85.0±2.0,1.4±0.3,125.0±0.5,42.0±0.5,7.4±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7645150,10A,30,3.7V,4.2V,5000,120,107.0±2.5,1.2±0.2,150.0±0.5,45.0±0.5,7.1±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB82C0130,1C,5,3.7V,4.2V,16000,160,266.0±5.0,1.0±0.3,129.0±1.0,119.0±1.0,7.9±0.3,45±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPBA090190,10A,8,3.7V,4.2V,21000,200,378.0±10.0,0.6±0.2,189.0±1.0,89.5±1.0,9.7±0.3,35±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB6312029,1C,20,3.7V,4.2V,130,8,3.3±0.3,30.0±6.0,29.0±0.5,12.0±0.5,6.1±0.2,5.0±0.5,LCO,17.0±1.0,2,0.1,4.0±0.2,
SLPB5212029,1C,20,3.7V,4.2V,100,8,2.7±0.3,32.0±6.4,29.0±0.5,12.0±0.5,5.0±0.2,5.0±0.5,LCO,17.0±1.0,2,0.1,4.0±0.2,
SLPB6510023,1C,20,3.7V,4.2V,75,8,2.0±0.2,35.0±7.0,23.0±0.5,10.0±0.5,6.3±0.2,4.0±0.5,LCO,17.0±1.0,2,0.1,4.0±0.2,
SLPBA347145,10A,15,3.7V,4.2V,8400,120,152.0±3.0,1.2±0.2,145.0±0.5,47.0±0.5,10.0±0.3,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7664155,10A,20,3.7V,4.2V,8000,160,155.0±3.0,0.9±0.3,155.0±0.5,63.5±1.0,7.3±0.3,29±1,LCO,12.0±1.0,20,0.2,5.0±0.2,
SLPB7579207HV,10A,10,3.8V,4.35V,15400,200,258.0±5.0,1.0±0.2,206.0±1.0,78.5±1.0,7.2±0.3,40±1,LCO+NCM,25.0±1.0,25,0.2,8.3±0.2,
SLPB6119055,1C,20,3.7V,4.2V,550,32,12.3±1.0,10.0±2.0,55.0±0.5,19.0±0.5,5.9±0.2,8.0±0.5,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB7942126,2C,30,3.7V,4.2V,4200,120,89.0±2.5,1.4±0.3,127.0±0.5,42.0±0.5,7.6±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9875175,10A,10,3.7V,4.2V,15000,200,282.0±5.0,0.7±0.2,174.0±1.0,74.0±1.0,9.7±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPBA790190,10A,8,3.7V,4.2V,21000,200,382.0±5.0,0.6±0.2,189.0±1.0,89.0±1.0,10.0±0.3,35±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB6535062,1C,30,3.7V,4.2V,1300,80,28.5±1.5,3.2±0.6,63.0±0.5,35.0±0.5,6.3±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7834096,2C,30,3.7V,4.2V,2600,80,55.0±1.5,2.1±0.4,97.0±0.5,34.0±0.5,7.5±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7334096,2C,20,3.7V,4.2V,2500,80,51.5±1.5,2.5±0.5,97.0±0.5,34.0±0.5,7.0±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6334096,2C,20,3.7V,4.2V,2100,80,43.5±1.5,2.8±0.6,97.0±0.5,34.0±0.5,6.1±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6395270HV,1C,3,3.8V,4.35V,21700,160,343.0±5.0,1.0±0.2,269.0±1.0,94.5±1.0,6.0±0.2,45±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPB5635062,1C,30,3.7V,4.2V,1100,80,24.5±1.5,4.2±0.8,63.0±0.5,35.0±0.5,5.4±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB5435062,1C,20,3.7V,4.2V,1100,64,23.5±1.5,4.5±0.9,63.0±0.5,35.0±0.5,5.2±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6124064,1C,30,3.7V,4.2V,850,48,19.0±1.5,5.4±1.1,65.0±0.5,24.5±0.5,5.9±0.2,12±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPBB6024064,1C,20,3.7V,4.2V,850,48,18.5±1.5,5.8±1.2,65.0±0.5,24.5±0.5,5.8±0.2,12±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPB9245150,10A,30,3.7V,4.2V,6000,120,128.0±3.0,1.1±0.2,150.0±0.5,45.0±0.5,8.4±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6230048,1C,5,3.7V,4.2V,900,48,17.0±1.5,11.1±1.1,49.5±0.5,30.5±0.5,5.8±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB3020030,1C,20,3.7V,4.2V,120,16,3.1±0.5,40.0±6.0,30.5±0.5,20.0±0.5,2.8±0.2,8.5±0.5,LCO,17.0±1.0,4,0.1,4.0±0.2,
SLPB4124042,1C,20,3.7V,4.2V,320,16,7.6±0.5,16.7±3.3,42.5±0.5,24.5±0.5,3.9±0.2,12±1,LCO,17.0±1.0,4,0.1,4.0±0.2,
SLPB6319035,1C,20,3.7V,4.2V,320,16,7.5±0.5,15.8±3.2,36.0±0.5,19.0±0.5,6.1±0.2,8.5±0.5,LCO,17.0±1.0,4,0.1,4.0±0.2,
SLPB5620030,1C,20,3.7V,4.2V,240,16,5.8±0.5,20.0±4.0,30.5±0.5,20.5±0.5,5.4±0.2,8.5±0.5,LCO,17.0±1.0,4,0.1,4.0±0.2,
SLPB4220030,1C,20,3.7V,4.2V,180,16,4.3±0.5,26.0±5.0,30.5±0.5,20.5±0.5,4.0±0.2,8.5±0.5,LCO,17.0±1.0,4,0.1,4.0±0.2,
SLPB6434096,2C,15,3.7V,4.2V,2200,80,43.5±1.5,3.2±0.6,97.0±0.5,34.0±0.5,6.2±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8534096,2C,20,3.7V,4.2V,2700,64,56.0±2.0,2.2±0.4,97.0±0.5,34.0±0.5,7.9±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA795183HV,1C,5,3.8V,4.35V,26000,200,402.0±10.0,0.7±0.2,182.0±1.0,94.5±1.0,10.4±0.3,40±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB9742126,10A,10,3.7V,4.2V,5900,96,110.0±2.5,1.6±0.3,127.5±0.5,42.0±0.5,9.2±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7434082,2C,35,3.7V,4.2V,1800,80,41.5±1.5,2.3±0.5,83.0±0.5,34.0±0.5,7.0±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6542126,2C,30,3.7V,4.2V,3200,96,69.5±2.0,1.6±0.3,127.0±0.5,42.0±0.5,6.0±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6642126,2C,20,3.7V,4.2V,3500,96,73.0±2.0,1.8±0.4,127.0±0.5,42.0±0.5,6.3±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6642126,2C,30,3.7V,4.2V,3400,96,73.5±2.0,1.6±0.3,127.0±0.5,42.0±0.5,6.4±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8924042,1C,15,3.7V,4.2V,800,48,16.5±1.5,7.2±1.4,43.0±0.5,24.0±0.5,8.4±0.3,12±1,LCO,10.0±1.0,6,0.2,4.0±0.2,
SLPBA2B2185,10A,8,3.7V,4.2V,25500,200,455.0±5.0,0.6±0.2,184.0±1.0,111.0±1.0,9.8±0.3,50±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPBA2C0185,10A,8,3.7V,4.2V,27500,200,489.0±5.0,0.6±0.2,184.0±1.0,118.5±1.0,9.9±0.3,50±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB5742126,2C,20,3.7V,4.2V,3000,80,63.0±2.0,2.1±0.4,127.0±0.5,42.0±0.5,5.5±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8864159HV,10A,15,3.8V,4.35V,10000,160,182.0±5.0,0.9±0.3,158.0±1.0,63.5±1.0,8.5±0.3,29±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPB7842126,2C,30,3.7V,4.2V,3800,96,84.5±2.0,1.3±0.3,127.0±0.5,42.0±0.5,7.4±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9745135,10A,8,3.7V,4.2V,7000,96,127.0±2.5,1.3±0.3,135.5±0.5,45.0±0.5,9.0±0.3,23±1,LCO,12.0±1.0,12,0.2,5.0±0.2,
SLPB7642126,2C,30,3.7V,4.2V,4000,96,85.0±2.5,1.4±0.3,127.0±0.5,42.0±0.5,7.0±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8042126,2C,25,3.7V,4.2V,4200,120,89.5±2.5,1.3±0.3,127.0±0.5,42.0±0.5,7.6±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8770175,10A,10,3.7V,4.2V,12000,144,222.0±5.0,1.0±0.3,173.0±1.0,69.0±1.0,8.3±0.3,32±1,LCO,10.0±1.0,18,0.2,8.3±0.2,
SLPB8324037HV,1C,1,3.8V,4.35V,920,16,14.0±2.0,20.0±5.0,38.0±0.5,24.0±0.5,8.0±0.3,12±1,LCO+NCM,17.0±1.0,4,0.1,4.0±0.2,
SLPBA688190HV,10A,8,3.8V,4.35V,22000,200,377.0±5.0,0.6±0.2,189.0±1.0,87.5±1.0,10.3±0.3,35±1,LCO+NCM,10.0±1.0,25,0.2,8.3±0.2,
SLPB7664155,10A,15,3.7V,4.2V,8000,144,156.0±3.0,1.3±0.3,155.0±1.0,63.5±1.0,7.3±0.3,29±1,LCO,10.0±1.0,18,0.2,5.0±0.2,
LFP6870135,10A,20,3.2V,3.65V,5000,144,123.0±3.0,1.5±0.8,136.0±0.5,69.5±0.5,6.6±0.2,35±1,LiFePO4,10.0±1.0,18,0.2,5.0±0.2,
LFP6164096,2C,20,3.2V,3.65V,2800,96,70.0±2.5,2.0±1.0,97.0±0.5,63.5±0.5,5.9±0.2,35±1,LiFePO4,10.0±1.0,12,0.2,5.0±0.2,
SLPB6945150,2C,30,3.7V,4.2V,4600,120,99.5±2.5,1.3±0.3,150.0±0.5,45.0±0.5,6.7±0.2,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB4945160,1C,5,3.7V,4.2V,4000,80,72.0±2.0,2.9±0.6,160.5±0.5,45.0±0.5,4.5±0.2,23±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB4032099,1C,20,3.7V,4.2V,1100,48,24.0±1.5,4.6±0.9,99.0±0.5,32.0±0.5,3.7±0.2,15±1,LCO,10.0±1.0,6,0.2,8.3±0.2,
SLPB9742126,10A,30,3.7V,4.2V,5000,120,106.5±2.5,1.2±0.2,127.5±0.5,42.0±0.5,9.0±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7534096,2C,20,3.7V,4.2V,2400,64,50.0±1.5,2.3±0.5,97.0±0.5,33.5±0.5,7.2±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7034096,2C,15,3.7V,4.2V,2400,64,47.0±1.5,2.8±0.6,97.0±0.5,34.0±0.5,6.7±0.3,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPBA445090,1C,5,3.7V,4.2V,5000,80,87.0±2.5,2.3±0.5,91.0±0.5,45.0±0.5,9.6±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8430085,1C,5,3.7V,4.2V,2400,48,42.0±1.5,4.6±0.9,86.0±0.5,30.0±0.5,7.8±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7745090,1C,5,3.7V,4.2V,3600,64,63.0±2.0,3.2±0.6,91.0±0.5,45.0±0.5,7.1±0.3,18±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6720078HV,1C,10,3.8V,4.35V,1100,32,20.0±1.5,7.0±2.0,78.0±0.5,20.0±0.5,6.5±0.2,10±1,LCO+NCM,10.0±1.0,4,0.2,4.0±0.2,
SLPB9975175,10A,10,3.7V,4.2V,15000,200,282.0±5.0,0.9±0.2,174.0±1.0,74.0±1.0,9.6±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB8072125HV,1C,5,3.85V,4.4V,10200,120,150.0±5.0,1.5±0.3,124.5±0.5,72.0±0.5,7.7±0.3,27±1,LCO+NCM,18.0±1.0,15,0.2,8.3±0.2,
SLPB6964159HV,10A,10,3.8V,4.35V,8000,160,145.0±5.0,1.4±0.3,158.5±0.5,64.0±0.5,6.7±0.2,29±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
LFP7142126,2C,20,3.2V,3.65V,3100,96,75.0±2.0,2.1±0.4,127.0±0.5,42.0±0.5,6.8±0.3,18±1,LiFePO4,10.0±1.0,12,0.2,5.0±0.2,
LFP7849080,2C,20,3.2V,3.65V,2400,120,59.0±2.0,2.0±1.0,81.0±0.5,49.0±0.5,7.5±0.3,25±1,LiFePO4,10.0±1.0,15,0.2,5.0±0.2,
SLPB7434096,2C,25,3.7V,4.2V,2200,80,47.5±1.5,2.4±0.5,97.0±0.5,33.5±0.5,6.8±0.3,16±1.0,LCO,10.0±1.0,10,0.2,5.0±0.2,
LFP6030060,1C,20,3.2V,3.65V,800,48,20.0±1.5,7.3±3.7,62.0±0.5,30.0±0.5,5.9±0.2,14±1,LiFePO4,10.0±1.0,6,0.2,5.0±0.2,
LFP5030060,1C,20,3.2V,3.65V,600,48,15.5±1.5,8.3±4.2,62.0±0.5,30.0±0.5,4.8±0.2,14±1,LiFePO4,10.0±1.0,6,0.2,5.0±0.2,
SLPB4349060,1C,20,3.7V,4.2V,1050,64,23.0±1.5,4.9±1.0,60.0±0.5,49.0±0.5,4.1±0.2,22±1,LCO,10.0±1.0,8,0.2,8.3±0.2,
SLPB6742126,2C,20,3.7V,4.2V,3300,80,69.5±2.0,1.9±0.4,127.0±0.5,42.0±0.5,6.0±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7948150,10A,20,3.7V,4.2V,6000,120,121.0±2.0,1.1±0.2,150.0±0.5,48.0±0.5,7.6±0.3,25±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9646125,1C,5,3.7V,4.2V,6950,120,119.0±2.5,1.7±0.3,126.0±0.5,46.0±0.5,9.3±0.3,23±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5220122,1C,15,3.7V,4.2V,1200,32,24.0±1.5,6.0±1.2,117.0±0.5,20.0±0.5,5.0±0.2,10±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
LFP6331042,1C,20,3.2V,3.65V,500,40,13.0±1.5,9.0±4.5,43.0±0.5,31.0±0.5,6.1±0.2,15±1,LiFePO4,10.0±1.0,5,0.2,5.0±0.2,
LFP5933070,1C,20,3.2V,3.65V,1000,64,25.0±1.5,5.5±3.0,71.0±0.5,33.5±0.5,5.7±0.2,16.5±1,LiFePO4,10.0±1.0,8,0.2,5.0±0.2,
LFP9076119,10A,20,3.2V,3.65V,6400,160,154.0±3.0,1.3±0.7,117.5±0.5,75.5±0.5,8.7±0.3,35±1,LiFePO4,10.0±1.0,20,0.2,8.3±0.2,
SLPBA942126,10A,15,3.7V,4.2V,7000,120,128.0±3.0,1.3±0.3,127.5±0.5,42.0±0.5,10.7±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
