Sun_Teeth,Earth_Teeth,Moon_Teeth,Ring_Teeth,Overall_Ratio,DP,Ring_Pitch_Dia,Ring_OD,Carrier_Dia,Safety_Factor
16,44,23,83,10.9239130434783,18,4.61111111111111,4.72222222222222,3.33333333333333,6.98037246285834
16,44,26,86,10.0961538461538,18,4.77777777777778,4.88888888888889,3.33333333333333,6.98037246285834
16,45,22,83,11.6107954545455,18,4.61111111111111,4.72222222222222,3.38888888888889,6.98037246285834
16,45,25,86,10.675,18,4.77777777777778,4.88888888888889,3.38888888888889,6.98037246285834
16,46,24,86,11.3020833333333,18,4.77777777777778,4.88888888888889,3.44444444444444,6.98037246285834
16,47,23,86,11.9836956521739,18,4.77777777777778,4.88888888888889,3.5,6.98037246285834
16,47,26,89,11.0552884615385,18,4.94444444444444,5.05555555555556,3.5,6.98037246285834
16,48,22,86,12.7272727272727,18,4.77777777777778,4.88888888888889,3.55555555555556,6.98037246285834
16,48,25,89,11.68,18,4.94444444444444,5.05555555555556,3.55555555555556,6.98037246285834
16,49,24,89,12.3567708333333,18,4.94444444444444,5.05555555555556,3.61111111111111,6.98037246285834
16,50,26,92,12.0576923076923,18,5.11111111111111,5.22222222222222,3.66666666666667,6.98037246285834
15,40,23,78,10.0434782608696,18,4.33333333333333,4.44444444444444,3.05555555555556,6.41144852479598
15,40,26,81,9.30769230769231,18,4.5,4.61111111111111,3.05555555555556,6.41144852479598
15,41,22,78,10.6909090909091,18,4.33333333333333,4.44444444444444,3.11111111111111,6.41144852479598
15,41,25,81,9.856,18,4.5,4.61111111111111,3.11111111111111,6.41144852479598
15,42,24,81,10.45,18,4.5,4.61111111111111,3.16666666666667,6.41144852479598
15,43,23,81,11.095652173913,18,4.5,4.61111111111111,3.22222222222222,6.41144852479598
15,43,26,84,10.2615384615385,18,4.66666666666667,4.77777777777778,3.22222222222222,6.41144852479598
15,44,22,81,11.8,18,4.5,4.61111111111111,3.27777777777778,6.41144852479598
15,44,25,84,10.856,18,4.66666666666667,4.77777777777778,3.27777777777778,6.41144852479598
15,45,24,84,11.5,18,4.66666666666667,4.77777777777778,3.33333333333333,6.41144852479598
15,46,23,84,12.2,18,4.66666666666667,4.77777777777778,3.38888888888889,6.41144852479598
15,46,26,87,11.2615384615385,18,4.83333333333333,4.94444444444444,3.38888888888889,6.41144852479598
15,47,22,84,12.9636363636364,18,4.66666666666667,4.77777777777778,3.44444444444444,6.41144852479598
15,47,25,87,11.904,18,4.83333333333333,4.94444444444444,3.44444444444444,6.41144852479598
15,48,24,87,12.6,18,4.83333333333333,4.94444444444444,3.5,6.41144852479598
15,49,26,90,12.3076923076923,18,5,5.11111111111111,3.55555555555556,6.41144852479598
15,50,25,90,13,18,5,5.11111111111111,3.61111111111111,6.41144852479598
14,40,22,76,10.8701298701299,18,4.22222222222222,4.33333333333333,3,5.7157695124503
14,40,25,79,10.0285714285714,18,4.38888888888889,4.5,3,5.7157695124503
14,41,24,79,10.639880952381,18,4.38888888888889,4.5,3.05555555555556,5.7157695124503
14,42,23,79,11.304347826087,18,4.38888888888889,4.5,3.11111111111111,5.7157695124503
14,42,26,82,10.4615384615385,18,4.55555555555556,4.66666666666667,3.11111111111111,5.7157695124503
14,43,22,79,12.0292207792208,18,4.38888888888889,4.5,3.16666666666667,5.7157695124503
14,43,25,82,11.0742857142857,18,4.55555555555556,4.66666666666667,3.16666666666667,5.7157695124503
14,44,24,82,11.7380952380952,18,4.55555555555556,4.66666666666667,3.22222222222222,5.7157695124503
14,45,23,82,12.4596273291925,18,4.55555555555556,4.66666666666667,3.27777777777778,5.7157695124503
14,45,26,85,11.5082417582418,18,4.72222222222222,4.83333333333333,3.27777777777778,5.7157695124503
14,46,25,85,12.1714285714286,18,4.72222222222222,4.83333333333333,3.33333333333333,5.7157695124503
14,47,24,85,12.889880952381,18,4.72222222222222,4.83333333333333,3.38888888888889,5.7157695124503
14,48,26,88,12.6043956043956,18,4.88888888888889,5,3.44444444444444,5.7157695124503
18,40,23,81,8.82608695652174,20,4.05,4.15,2.9,4.74301906779661
18,40,26,84,8.17948717948718,20,4.2,4.3,2.9,4.74301906779661
18,41,22,81,9.38636363636363,20,4.05,4.15,2.95,4.74301906779661
18,41,25,84,8.65333333333333,20,4.2,4.3,2.95,4.74301906779661
18,42,24,84,9.16666666666667,20,4.2,4.3,3,4.74301906779661
18,43,23,84,9.72463768115942,20,4.2,4.3,3.05,4.74301906779661
