Cell Model,30Q
Cell Number,10
Power Level,23.15
Load,2
Temperature,40
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1541148422.5462642,4.19467,0,,,
1541148422.6395264,4.19467,0,0,0,0
1541148422.739016,4.19467,0,,,
1541148422.8502624,4.06509,5.17436,,,
1541148422.9405224,4.06509,5.17436,,,
1541148423.03952,4.06509,5.17436,,,
1541148423.139909,4.03171,5.17436,,,
1541148423.249654,4.03171,5.74129,,,
1541148423.357895,4.03171,5.74129,,,
1541148423.4405303,4.03171,5.74129,,,
1541148423.5406854,4.02626,5.74875,,,
1541148423.6416564,4.02626,5.74875,0,0,0
1541148423.7485187,4.02626,5.74875,,,
1541148423.840771,4.02202,5.75467,,,
1541148423.9623022,4.02202,5.75467,,,
1541148424.0411503,4.02202,5.75467,,,
1541148424.1651242,4.01839,5.75467,,,
1541148424.2468781,4.01839,5.76007,,,
1541148424.3437448,4.01839,5.76007,,,
1541148424.445294,4.01839,5.76007,,,
1541148424.5566194,4.01514,5.76443,,,
1541148424.663016,4.01514,5.76443,0,0,0
1541148424.7688322,4.01514,5.76443,,,
1541148424.8473704,4.01218,5.76855,,,
1541148424.9457872,4.01218,5.76855,,,
1541148425.0545425,4.01218,5.76855,,,
1541148425.146035,4.00954,5.76855,,,
1541148425.2465358,4.00954,5.77267,,,
1541148425.346651,4.00954,5.77267,,,
1541148425.4482224,4.00954,5.77267,,,
1541148425.5821564,4.00696,5.77628,,,
1541148425.6468685,4.00696,5.77628,0,0,0
1541148425.7471173,4.00696,5.77628,,,
1541148425.8592374,4.00461,5.77962,,,
1541148425.969642,4.00461,5.77962,,,
1541148426.0482597,4.00461,5.77962,,,
1541148426.1473567,4.00241,5.77962,,,
1541148426.2567341,4.00241,5.7827,,,
1541148426.3756227,4.00241,5.7827,,,
1541148426.4507556,4.00241,5.7827,,,
1541148426.5484955,4.00031,5.78604,,,
1541148426.6494715,4.00031,5.78604,0,0,0
1541148426.7563624,4.00031,5.78604,,,
1541148426.847981,3.99826,5.78888,,,
1541148426.9485915,3.99826,5.78888,,,
1541148427.0487385,3.99826,5.78888,,,
