Cell Model,30Q
Cell Number,6
Power Level,23.15
Load,2
Temperature,60
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1541424323.5147018,4.19241,0,,,
1541424323.6179025,4.19241,0.490753,0,0,0
1541424323.7204723,4.19241,0.490753,,,
1541424323.8220093,4.0585,0.490753,,,
1541424323.91522,4.0585,5.70374,,,
1541424324.0431638,4.0585,5.70374,,,
1541424324.1331997,4.0585,5.70374,,,
1541424324.2417786,4.05229,5.7117,,,
1541424324.3197894,4.05229,5.7117,,,
1541424324.4158282,4.05229,5.7117,,,
1541424324.5248222,4.04851,5.7117,,,
1541424324.6323915,4.04851,5.7171,0,0,0
1541424324.7168489,4.04851,5.7171,,,
1541424324.8386843,4.04541,5.7171,,,
1541424324.9183922,4.04541,5.72148,,,
1541424325.0294209,4.04541,5.72148,,,
1541424325.1175187,4.04541,5.72148,,,
1541424325.2168014,4.04268,5.72534,,,
1541424325.318439,4.04268,5.72534,,,
1541424325.4241896,4.04268,5.72534,,,
1541424325.5206022,4.04027,5.72534,,,
1541424325.6171694,4.04027,5.72868,0,0,0
1541424325.7161698,4.04027,5.72868,,,
1541424325.8349645,4.03807,5.72868,,,
1541424325.942599,4.03807,5.73177,,,
1541424326.0188165,4.03807,5.73177,,,
1541424326.1185446,4.03807,5.73177,,,
1541424326.225586,4.03603,5.73434,,,
1541424326.3452687,4.03603,5.73434,,,
1541424326.4192045,4.03603,5.73434,,,
1541424326.5196571,4.03413,5.73434,,,
1541424326.6198964,4.03413,5.73743,0,0,0
1541424326.7301416,4.03413,5.73743,,,
1541424326.8199205,4.03413,5.73743,,,
1541424326.9193184,4.03239,5.73975,,,
1541424327.0201511,4.03239,5.73975,,,
1541424327.1496534,4.03239,5.73975,,,
1541424327.2263093,4.03073,5.74231,,,
1541424327.3203597,4.03073,5.74231,,,
1541424327.4172964,4.03073,5.74231,,,
1541424327.5340328,4.02914,5.74231,,,
1541424327.646649,4.02914,5.74437,0,0,0
1541424327.7219245,4.02914,5.74437,,,
1541424327.8167806,4.02914,5.74437,,,
1541424327.9513068,4.02762,5.74643,,,
1541424328.043243,4.02762,5.74643,,,
1541424328.1227062,4.02762,5.74643,,,
1541424328.2221491,4.02618,5.74875,,,
1541424328.3249276,4.02618,5.74875,,,
1541424328.4342656,4.02618,5.74875,,,
1541424328.5243726,4.02475,5.74875,,,
1541424328.6207721,4.02475,5.75055,0,0,0
1541424328.7463925,4.02475,5.75055,,,
1541424328.8336494,4.02475,5.75055,,,
1541424328.9311397,4.02345,5.75235,,,
1541424329.023997,4.02345,5.75235,,,
1541424329.1227973,4.02345,5.75235,,,
1541424329.2419631,4.02217,5.75415,,,
1541424329.3499684,4.02217,5.75415,,,
1541424329.425153,4.02217,5.75415,,,
1541424329.545696,4.02089,5.75415,,,
1541424329.6322327,4.02089,5.75595,0,0,0
1541424329.736955,4.02089,5.75595,,,
1541424329.8230233,4.02089,5.75595,,,
1541424329.9235022,4.01967,5.75775,,,
1541424330.0242717,4.01967,5.75775,,,
1541424330.1349914,4.01967,5.75775,,,
1541424330.2245946,4.01854,5.75775,,,
1541424330.3452735,4.01854,5.75955,,,
