Cell Model,VTC6
Cell Number,6
Power Level,34.73
Load,1
Temperature,60
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1540514762.1326082,4.19746,0.000106812,,,
1540514762.2030783,4.16176,2.28772,0,0,0
1540514762.3069932,4.16176,2.28772,,,
1540514762.428865,4.16176,2.28772,,,
1540514762.5221696,4.02345,2.28772,,,
1540514762.6072736,4.02345,8.63104,,,
1540514762.7033072,4.02345,8.63104,,,
1540514762.8104317,4.01717,8.63104,,,
1540514762.9167895,4.01717,8.64384,,,
1540514763.0051415,4.01717,8.64384,,,
1540514763.1094332,4.01717,8.64384,,,
1540514763.2085638,4.01294,8.65308,0,0,0
1540514763.3101554,4.01294,8.65308,,,
1540514763.4051306,4.01294,8.65308,,,
1540514763.5059388,4.00946,8.65308,,,
1540514763.6070316,4.00946,8.66026,,,
1540514763.7231264,4.00946,8.66026,,,
1540514763.8355143,4.00642,8.66026,,,
1540514763.9060445,4.00642,8.66692,,,
1540514764.0072963,4.00642,8.66692,,,
1540514764.113812,4.00642,8.66692,,,
1540514764.223556,4.00371,8.67282,0,0,0
1540514764.306964,4.00371,8.67282,,,
1540514764.407357,4.00371,8.67282,,,
1540514764.5104277,4.00128,8.67282,,,
1540514764.612536,4.00128,8.67795,,,
1540514764.716027,4.00128,8.67795,,,
1540514764.807143,4.00128,8.67795,,,
1540514764.9121363,3.99901,8.68307,,,
1540514765.0307324,3.99901,8.68307,,,
1540514765.1364503,3.99901,8.68307,,,
1540514765.2120469,3.99689,8.68768,0,0,0
1540514765.3100588,3.99689,8.68768,,,
1540514765.420048,3.99689,8.68768,,,
1540514765.5253816,3.99493,8.68768,,,
1540514765.6093338,3.99493,8.69179,,,
1540514765.7100043,3.99493,8.69179,,,
1540514765.8109853,3.99493,8.69179,,,
1540514765.9152837,3.99304,8.69563,,,
1540514766.0096567,3.99304,8.69563,,,
1540514766.11028,3.99304,8.69563,,,
1540514766.2088988,3.9913,8.69972,0,0,0
1540514766.3312156,3.9913,8.69972,,,
1540514766.4356139,3.9913,8.69972,,,
1540514766.5166917,3.98956,8.69972,,,
1540514766.6132286,3.98956,8.70357,,,
1540514766.7201614,3.98956,8.70357,,,
1540514766.833206,3.98796,8.70357,,,
1540514766.9148333,3.98796,8.70691,,,
1540514767.0172107,3.98796,8.70691,,,
1540514767.1150186,3.98796,8.70691,,,
1540514767.220914,3.98645,8.70998,0,0,0
1540514767.31726,3.98645,8.70998,,,
1540514767.4192736,3.98645,8.70998,,,
1540514767.5151675,3.98494,8.70998,,,
1540514767.6190047,3.98494,8.71356,,,
1540514767.7202535,3.98494,8.71356,,,
1540514767.8182564,3.98494,8.71356,,,
1540514767.9188864,3.98351,8.7169,,,
1540514768.0299003,3.98351,8.7169,,,
1540514768.1189373,3.98351,8.7169,,,
1540514768.2190247,3.98215,8.71973,0,0,0
1540514768.3197553,3.98215,8.71973,,,
1540514768.4251065,3.98215,8.71973,,,
1540514768.5379026,3.98077,8.71973,,,
1540514768.617258,3.98077,8.72253,,,
1540514768.717718,3.98077,8.72253,,,
1540514768.8198712,3.98077,8.72253,,,
1540514768.9259918,3.97949,8.72536,,,
1540514769.0182636,3.97949,8.72536,,,
1540514769.1207728,3.97949,8.72536,,,
1540514769.2263615,3.97829,8.72818,0,0,0
1540514769.3249912,3.97829,8.72818,,,
1540514769.4249768,3.97829,8.72818,,,
1540514769.5232508,3.97699,8.72818,,,
1540514769.622242,3.97699,8.731,,,
1540514769.7363489,3.97699,8.731,,,
1540514769.8456905,3.97586,8.731,,,
1540514769.9240725,3.97586,8.73357,,,
1540514770.026266,3.97586,8.73357,,,
1540514770.1322942,3.97586,8.73357,,,
1540514770.2388172,3.97466,8.73613,0,0,0
1540514770.3346207,3.97466,8.73613,,,
1540514770.426636,3.97466,8.73613,,,
1540514770.5311112,3.97351,8.73613,,,
1540514770.6441948,3.97351,8.73843,,,
1540514770.7258766,3.97351,8.73843,,,
1540514770.82536,3.97351,8.73843,,,
1540514770.9649038,3.97246,8.74074,,,
1540514771.0423748,3.97246,8.74074,,,
1540514771.12736,3.97246,8.74074,,,
1540514771.225824,3.97141,8.7433,0,0,0
1540514771.3269992,3.97141,8.7433,,,
1540514771.443528,3.97141,8.7433,,,
1540514771.552913,3.97034,8.7433,,,
1540514771.6280951,3.97034,8.74561,,,
1540514771.726577,3.97034,8.74561,,,
1540514771.8379335,3.97034,8.74561,,,
1540514771.9429135,3.96928,8.74791,,,
1540514772.0293803,3.96928,8.74791,,,
1540514772.1289837,3.96928,8.74791,,,
1540514772.2326076,3.96829,8.75023,0,0,0
1540514772.3371885,3.96829,8.75023,,,
1540514772.436375,3.96829,8.75023,,,
1540514772.528143,3.96732,8.75023,,,
1540514772.6288192,3.96732,8.75201,,,
1540514772.749266,3.96732,8.75201,,,
1540514772.8301914,3.96732,8.75201,,,
1540514772.9291694,3.96632,8.75432,,,
1540514773.0296657,3.96632,8.75432,,,
1540514773.1577947,3.96632,8.75432,,,
1540514773.245228,3.96535,8.75638,0,0,0
1540514773.3328004,3.96535,8.75638,,,
1540514773.4357567,3.96535,8.75638,,,
1540514773.541101,3.96443,8.75638,,,
1540514773.642346,3.96443,8.75868,,,
1540514773.7315044,3.96443,8.75868,,,
1540514773.836745,3.96443,8.75868,,,
1540514773.9428694,3.96353,8.76099,,,
1540514774.050505,3.96353,8.76099,,,
1540514774.133338,3.96353,8.76099,0,0,0
1540514774.2343402,3.96262,8.76279,,,
1540514774.332589,3.96262,8.76279,,,
1540514774.4499443,3.96262,8.76279,,,
1540514774.5584075,3.96172,8.76279,,,
1540514774.639321,3.96172,8.76457,,,
1540514774.7455828,3.96172,8.76457,,,
1540514774.8430586,3.96172,8.76457,,,
1540514774.9485955,3.96088,8.76663,,,
1540514775.038413,3.96088,8.76663,,,
1540514775.1397667,3.96088,8.76663,,,
1540514775.2454584,3.96005,8.76816,0,0,0
1540514775.3525887,3.96005,8.76816,,,
1540514775.449473,3.96005,8.76816,,,
1540514775.5548162,3.95921,8.76816,,,
1540514775.6351933,3.95921,8.77022,,,
1540514775.739092,3.95921,8.77022,,,
1540514775.837327,3.95921,8.77022,,,
1540514775.9389212,3.95839,8.772,,,
1540514776.0357773,3.95839,8.772,,,
1540514776.1560445,3.95839,8.772,,,
1540514776.2699242,3.95755,8.772,0,0,0
1540514776.364238,3.95755,8.7738,,,
1540514776.4380429,3.95755,8.7738,,,
1540514776.5451248,3.95673,8.7738,,,
1540514776.6550057,3.95673,8.7756,,,
1540514776.7370503,3.95673,8.7756,,,
1540514776.8366563,3.95673,8.7756,,,
1540514776.9416053,3.95596,8.77739,,,
1540514777.0430548,3.95596,8.77739,,,
1540514777.1382773,3.95596,8.77739,,,
1540514777.2404125,3.95512,8.77739,0,0,0
1540514777.3392303,3.95512,8.77919,,,
1540514777.4405487,3.95512,8.77919,,,
1540514777.5388646,3.95438,8.77919,,,
1540514777.6410916,3.95438,8.78098,,,
1540514777.7409837,3.95438,8.78098,,,
1540514777.8852532,3.95361,8.78098,,,
1540514777.9664104,3.95361,8.78252,,,
1540514778.04481,3.95361,8.78252,,,
1540514778.1404102,3.95361,8.78252,,,
1540514778.2498944,3.95287,8.78432,0,0,0
1540514778.3601084,3.95287,8.78432,,,
1540514778.453208,3.95287,8.78432,,,
1540514778.5465732,3.9521,8.78432,,,
1540514778.6527708,3.9521,8.7856,,,
1540514778.760088,3.9521,8.7856,,,
1540514778.8482308,3.9521,8.7856,,,
1540514778.9496458,3.95143,8.78712,,,
1540514779.0512824,3.95143,8.78712,,,
1540514779.156364,3.95143,8.78712,0,0,0
1540514779.251797,3.95067,8.78712,,,
