Cell Model,30Q
Cell Number,7
Power Level,34.73
Load,2
Temperature,60
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1540564875.8041775,4.19695,0,0,0,0
1540564875.916834,4.19695,0,0,0,0
1540564875.9994829,4.19695,0,,,
1540564876.0951667,4.03761,7.96347,,,
1540564876.1945777,4.03761,7.96347,,,
1540564876.3080041,4.03761,7.96347,,,
1540564876.3953204,4.0031,7.96347,,,
1540564876.5105956,4.0031,8.67497,,,
1540564876.6020534,4.0031,8.67497,,,
1540564876.7071967,4.0031,8.67497,,,
1540564876.7966738,3.99712,8.68784,,,
1540564876.896472,3.99712,8.68784,0,0,0
1540564876.9963303,3.99712,8.68784,,,
1540564877.1004221,3.99236,8.69786,,,
1540564877.213548,3.99236,8.69786,,,
1540564877.3072913,3.99236,8.69786,,,
1540564877.4053233,3.98827,8.69786,,,
1540564877.498547,3.98827,8.70712,,,
1540564877.6048286,3.98827,8.70712,,,
1540564877.6977453,3.98827,8.70712,,,
1540564877.7986395,3.98471,8.71484,,,
1540564877.8985536,3.98471,8.71484,0,0,0
1540564878.0024393,3.98471,8.71484,,,
1540564878.0991347,3.98137,8.72205,,,
1540564878.1990707,3.98137,8.72205,,,
1540564878.2981656,3.98137,8.72205,,,
1540564878.415183,3.97835,8.72205,,,
1540564878.5228214,3.97835,8.72873,,,
1540564878.6029475,3.97835,8.72873,,,
1540564878.703413,3.97835,8.72873,,,
1540564878.811444,3.97554,8.73465,,,
1540564878.9271107,3.97554,8.73465,0,0,0
1540564879.0384972,3.97554,8.73465,,,
1540564879.102766,3.9729,8.74055,,,
1540564879.2044587,3.9729,8.74055,,,
1540564879.322899,3.9729,8.74055,,,
1540564879.406906,3.97047,8.74055,,,
1540564879.505005,3.97047,8.74596,,,
1540564879.6044736,3.97047,8.74596,,,
1540564879.7246096,3.97047,8.74596,,,
1540564879.8213463,3.96812,8.75111,,,
1540564879.9062731,3.96812,8.75111,0,0,0
1540564880.0059993,3.96812,8.75111,,,
1540564880.104469,3.96585,8.756,,,
1540564880.2125404,3.96585,8.756,,,
1540564880.306287,3.96585,8.756,,,
1540564880.4062164,3.96375,8.756,,,
1540564880.5053551,3.96375,8.76088,,,
1540564880.6253643,3.96375,8.76088,,,
1540564880.7086453,3.96375,8.76088,,,
1540564880.8059044,3.9617,8.765,,,
1540564880.9080036,3.9617,8.765,0,0,0
1540564881.0126138,3.9617,8.765,,,
1540564881.1218867,3.95981,8.765,,,
1540564881.210796,3.95981,8.76936,,,
1540564881.3045614,3.95981,8.76936,,,
1540564881.4049394,3.95792,8.76936,,,
1540564881.5105276,3.95792,8.77348,,,
1540564881.6051693,3.95792,8.77348,,,
1540564881.70618,3.95792,8.77348,,,
1540564881.8045583,3.9561,8.7776,,,
1540564881.931139,3.9561,8.7776,0,0,0
1540564882.0384314,3.9561,8.7776,,,
1540564882.1079195,3.95435,8.7776,,,
1540564882.208112,3.95435,8.78146,,,
1540564882.3222005,3.95435,8.78146,,,
1540564882.4300783,3.95268,8.78146,,,
1540564882.5092394,3.95268,8.78506,,,
1540564882.6094375,3.95268,8.78506,,,
1540564882.7126133,3.95268,8.78506,,,
1540564882.8190143,3.95102,8.78841,,,
1540564882.9106321,3.95102,8.78841,0,0,0
1540564883.0100543,3.95102,8.78841,,,
1540564883.1109507,3.94943,8.78841,,,
1540564883.2324512,3.94943,8.79227,,,
1540564883.3154447,3.94943,8.79227,,,
1540564883.4118807,3.94792,8.79227,,,
1540564883.5369833,3.94792,8.79587,,,
1540564883.6221726,3.94792,8.79587,,,
1540564883.712882,3.94792,8.79587,,,
1540564883.8117418,3.94641,8.79895,,,
1540564883.9118164,3.94641,8.79895,0,0,0
1540564884.0169632,3.94641,8.79895,,,
1540564884.1285722,3.94496,8.79895,,,
1540564884.2125473,3.94496,8.80229,,,
1540564884.338089,3.94496,8.80229,,,
1540564884.4167974,3.94353,8.80229,,,
1540564884.5208843,3.94353,8.80537,,,
1540564884.613899,3.94353,8.80537,,,
1540564884.7138996,3.94353,8.80537,,,
1540564884.8138812,3.94217,8.80821,,,
1540564884.9165413,3.94217,8.80821,0,0,0
1540564885.0132754,3.94217,8.80821,,,
1540564885.1368864,3.9408,8.80821,,,
1540564885.2156506,3.9408,8.81181,,,
1540564885.3319325,3.9408,8.81181,,,
1540564885.4148903,3.9408,8.81181,,,
1540564885.5138838,3.93951,8.81464,,,
1540564885.6149232,3.93951,8.81464,,,
1540564885.7232585,3.93951,8.81464,,,
1540564885.82979,3.93816,8.81747,,,
1540564885.9382048,3.93816,8.81747,0,0,0
1540564886.0195236,3.93816,8.81747,,,
1540564886.1177995,3.93694,8.81747,,,
1540564886.2223012,3.93694,8.82004,,,
1540564886.316691,3.93694,8.82004,,,
1540564886.4156358,3.93694,8.82004,,,
1540564886.5157661,3.93573,8.82288,,,
1540564886.6325092,3.93573,8.82288,,,
1540564886.751848,3.93573,8.82288,,,
1540564886.822879,3.93452,8.82544,0,0,0
1540564886.9166448,3.93452,8.82544,,,
1540564887.0215015,3.93452,8.82544,,,
1540564887.1342635,3.9333,8.82544,,,
1540564887.216769,3.9333,8.82854,,,
1540564887.3169804,3.9333,8.82854,,,
1540564887.4181275,3.9333,8.82854,,,
1540564887.5343497,3.93217,8.83084,,,
1540564887.625361,3.93217,8.83084,,,
1540564887.7173707,3.93217,8.83084,,,
1540564887.8181612,3.93105,8.83342,,,
1540564887.9378898,3.93105,8.83342,0,0,0
1540564888.0216029,3.93105,8.83342,,,
1540564888.1181822,3.92998,8.83342,,,
1540564888.218126,3.92998,8.83574,,,
1540564888.3455963,3.92998,8.83574,,,
1540564888.434132,3.92885,8.83574,,,
1540564888.5188644,3.92885,8.8383,,,
1540564888.6184726,3.92885,8.8383,,,
1540564888.718592,3.92885,8.8383,,,
1540564888.8264742,3.92778,8.84036,,,
1540564888.9181814,3.92778,8.84036,0,0,0
1540564889.0192504,3.92778,8.84036,,,
1540564889.1226068,3.92673,8.84036,,,
1540564889.263476,3.92673,8.84294,,,
1540564889.3519723,3.92673,8.84294,,,
1540564889.421636,3.92673,8.84294,,,
1540564889.518745,3.92574,8.8455,,,
1540564889.6328485,3.92574,8.8455,,,
1540564889.7186296,3.92574,8.8455,,,
1540564889.8188581,3.92468,8.84782,,,
1540564889.9193733,3.92468,8.84782,0,0,0
1540564890.0337055,3.92468,8.84782,,,
1540564890.1368558,3.92369,8.84782,,,
1540564890.2190895,3.92369,8.84988,,,
1540564890.319361,3.92369,8.84988,,,
1540564890.419486,3.92369,8.84988,,,
1540564890.5263672,3.92271,8.8522,,,
1540564890.619985,3.92271,8.8522,,,
1540564890.7213438,3.92271,8.8522,,,
1540564890.8204737,3.9218,8.85425,,,
1540564890.962936,3.9218,8.85425,0,0,0
1540564891.0540895,3.9218,8.85425,,,
1540564891.1241372,3.92082,8.85425,,,
1540564891.2207508,3.92082,8.85605,,,
1540564891.3394845,3.92082,8.85605,,,
1540564891.4454706,3.92082,8.85605,,,
1540564891.5212424,3.91991,8.85811,,,
1540564891.622332,3.91991,8.85811,,,
1540564891.7273455,3.91991,8.85811,,,
1540564891.8449152,3.91901,8.85811,,,
1540564891.9215763,3.91901,8.86017,0,0,0
1540564892.0229416,3.91901,8.86017,,,
1540564892.1217089,3.91809,8.86017,,,
1540564892.2322335,3.91809,8.86249,,,
1540564892.3234723,3.91809,8.86249,,,
1540564892.422309,3.91809,8.86249,,,
1540564892.5236213,3.91727,8.86481,,,
1540564892.660231,3.91727,8.86481,,,
1540564892.7260911,3.91727,8.86481,,,
1540564892.8234684,3.91635,8.86481,,,
1540564892.924105,3.91635,8.86661,0,0,0
1540564893.0320995,3.91635,8.86661,,,
1540564893.1439548,3.91553,8.86661,,,
1540564893.2268286,3.91553,8.86865,,,
1540564893.324615,3.91553,8.86865,,,
1540564893.4471636,3.91553,8.86865,,,
1540564893.5353072,3.91469,8.87045,,,
1540564893.624559,3.91469,8.87045,,,
1540564893.7260997,3.91469,8.87045,,,
1540564893.8248463,3.91385,8.87045,,,
1540564893.9307337,3.91385,8.87225,0,0,0
1540564894.0254748,3.91385,8.87225,,,
1540564894.1244853,3.91385,8.87225,,,
1540564894.2473023,3.91302,8.87381,,,
1540564894.3463175,3.91302,8.87381,,,
