Cell Model,30Q
Cell Number,7
Power Level,23.15
Load,2
Temperature,60
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1540539670.0049496,4.19679,0,,,
1540539670.1091826,4.14359,0,0,0,0
1540539670.1931603,4.14359,2.92593,,,
1540539670.2932892,4.14359,2.92593,,,
1540539670.3967147,4.14359,2.92593,,,
1540539670.507312,4.07516,5.68007,,,
1540539670.5934348,4.07516,5.68007,,,
1540539670.7138963,4.07516,5.68007,,,
1540539670.7955358,4.07085,5.68007,,,
1540539670.903814,4.07085,5.68599,,,
1540539670.994488,4.07085,5.68599,,,
1540539671.094505,4.07085,5.68599,0,0,0
1540539671.1947775,4.06752,5.69087,,,
1540539671.3211753,4.06752,5.69087,,,
1540539671.3985767,4.06752,5.69087,,,
1540539671.5198126,4.06471,5.69447,,,
1540539671.602593,4.06471,5.69447,,,
1540539671.7127182,4.06471,5.69447,,,
1540539671.8171935,4.06229,5.69447,,,
1540539671.898766,4.06229,5.69781,,,
1540539671.9987934,4.06229,5.69781,,,
1540539672.1019251,4.06229,5.69781,0,0,0
1540539672.208169,4.06009,5.70116,,,
1540539672.299227,4.06009,5.70116,,,
1540539672.399161,4.06009,5.70116,,,
1540539672.4989812,4.05798,5.70399,,,
1540539672.620633,4.05798,5.70399,,,
1540539672.704313,4.05798,5.70399,,,
1540539672.799773,4.05608,5.70399,,,
1540539672.899907,4.05608,5.70656,,,
1540539673.0364113,4.05608,5.70656,,,
1540539673.1221232,4.05426,5.70656,0,0,0
1540539673.20187,4.05426,5.70888,,,
1540539673.3002968,4.05426,5.70888,,,
1540539673.408465,4.05426,5.70888,,,
1540539673.5171947,4.0526,5.7112,,,
1540539673.6025329,4.0526,5.7112,,,
1540539673.7017558,4.0526,5.7112,,,
1540539673.8017874,4.05101,5.7112,,,
1540539673.9096591,4.05101,5.71376,,,
1540539674.004121,4.05101,5.71376,,,
1540539674.1017869,4.05101,5.71376,0,0,0
1540539674.201928,4.04942,5.71608,,,
1540539674.320469,4.04942,5.71608,,,
1540539674.403471,4.04942,5.71608,,,
1540539674.5279171,4.04799,5.71608,,,
1540539674.6072328,4.04799,5.71814,,,
1540539674.7111113,4.04799,5.71814,,,
1540539674.8187983,4.04654,5.71814,,,
1540539674.9005742,4.04654,5.71994,,,
1540539675.0006785,4.04654,5.71994,,,
1540539675.1008203,4.04654,5.71994,0,0,0
1540539675.2082832,4.04518,5.722,,,
1540539675.32102,4.04518,5.722,,,
1540539675.4085453,4.04518,5.722,,,
1540539675.501303,4.04382,5.722,,,
1540539675.6191385,4.04382,5.72354,,,
1540539675.7039165,4.04382,5.72354,,,
1540539675.8015518,4.04254,5.72354,,,
1540539675.901389,4.04254,5.72586,,,
1540539676.0090477,4.04254,5.72586,,,
1540539676.128144,4.04254,5.72586,0,0,0
1540539676.2147985,4.04132,5.7274,,,
1540539676.3022788,4.04132,5.7274,,,
1540539676.4053705,4.04132,5.7274,,,
1540539676.5094326,4.04012,5.7274,,,
1540539676.6035135,4.04012,5.7292,,,
1540539676.7025502,4.04012,5.7292,,,
1540539676.8030205,4.03897,5.7292,,,
1540539676.9354994,4.03897,5.73074,,,
1540539677.031053,4.03897,5.73074,,,
1540539677.1097689,4.03897,5.73074,0,0,0
1540539677.2033887,4.03777,5.73228,,,
1540539677.3150244,4.03777,5.73228,,,
1540539677.4047825,4.03777,5.73228,,,
1540539677.5041354,4.03671,5.73228,,,
1540539677.6037858,4.03671,5.73383,,,
1540539677.7219696,4.03671,5.73383,,,
1540539677.822313,4.03564,5.73383,,,
1540539677.9060059,4.03564,5.73537,,,
1540539678.0072253,4.03564,5.73537,,,
1540539678.1073713,4.03564,5.73537,0,0,0
1540539678.213888,4.03459,5.73717,,,
1540539678.30809,4.03459,5.73717,,,
1540539678.4080875,4.03459,5.73717,,,
1540539678.5118918,4.03352,5.73717,,,
1540539678.6537478,4.03352,5.73846,,,
1540539678.7388875,4.03352,5.73846,,,
1540539678.8106477,4.03352,5.73846,,,
1540539678.9072359,4.03247,5.74001,,,
1540539679.0202677,4.03247,5.74001,,,
1540539679.1087797,4.03247,5.74001,0,0,0
1540539679.2089038,4.03148,5.74129,,,
1540539679.3087807,4.03148,5.74129,,,
1540539679.4167495,4.03148,5.74129,,,
1540539679.5282779,4.03058,5.74129,,,
1540539679.6095273,4.03058,5.74283,,,
1540539679.7093976,4.03058,5.74283,,,
1540539679.8094003,4.03058,5.74283,,,
1540539679.917629,4.02959,5.74387,,,
1540539680.0096624,4.02959,5.74387,,,
1540539680.1092715,4.02959,5.74387,0,0,0
1540539680.2092636,4.02869,5.74515,,,
1540539680.3492756,4.02869,5.74515,,,
1540539680.445752,4.02869,5.74515,,,
1540539680.5106454,4.02777,5.74515,,,
1540539680.6097732,4.02777,5.74643,,,
1540539680.7265067,4.02777,5.74643,,,
1540539680.8096445,4.02777,5.74643,,,
1540539680.9096396,4.02687,5.74797,,,
1540539681.010029,4.02687,5.74797,,,
1540539681.1207442,4.02687,5.74797,0,0,0
1540539681.2340813,4.02596,5.74927,,,
1540539681.3120227,4.02596,5.74927,,,
1540539681.4120188,4.02596,5.74927,,,
1540539681.5128517,4.02505,5.74927,,,
1540539681.6186287,4.02505,5.75055,,,
1540539681.711385,4.02505,5.75055,,,
1540539681.8125105,4.02505,5.75055,,,
1540539681.9116158,4.02422,5.75157,,,
1540539682.0523543,4.02422,5.75157,,,
1540539682.117726,4.02422,5.75157,0,0,0
1540539682.2120032,4.02339,5.75287,,,
1540539682.3121321,4.02339,5.75287,,,
1540539682.4254887,4.02339,5.75287,,,
1540539682.5132573,4.02255,5.75287,,,
1540539682.612729,4.02255,5.75389,,,
1540539682.7127316,4.02255,5.75389,,,
1540539682.8402348,4.02255,5.75389,,,
1540539682.933631,4.02171,5.75491,,,
1540539683.0128999,4.02171,5.75491,,,
1540539683.113124,4.02171,5.75491,0,0,0
1540539683.2164702,4.02097,5.75595,,,
1540539683.3233483,4.02097,5.75595,,,
1540539683.4145954,4.02097,5.75595,,,
1540539683.5133805,4.02013,5.75595,,,
1540539683.637235,4.02013,5.75723,,,
1540539683.7359564,4.02013,5.75723,,,
1540539683.817385,4.02013,5.75723,,,
1540539683.9140928,4.01938,5.75827,,,
1540539684.015465,4.01938,5.75827,,,
1540539684.1269646,4.01938,5.75827,0,0,0
1540539684.2334635,4.01862,5.75981,,,
1540539684.316379,4.01862,5.75981,,,
1540539684.4348216,4.01862,5.75981,,,
1540539684.5207279,4.01785,5.75981,,,
1540539684.6242263,4.01785,5.76083,,,
1540539684.7167127,4.01785,5.76083,,,
1540539684.8167102,4.01785,5.76083,,,
1540539684.9165676,4.01711,5.76212,,,
1540539685.0183685,4.01711,5.76212,,,
1540539685.117073,4.01711,5.76212,0,0,0
1540539685.2323327,4.01634,5.76289,,,
1540539685.325432,4.01634,5.76289,,,
1540539685.4303353,4.01634,5.76289,,,
1540539685.516593,4.01567,5.76289,,,
1540539685.6181161,4.01567,5.76392,,,
1540539685.718045,4.01567,5.76392,,,
1540539685.8266995,4.01567,5.76392,,,
1540539685.9346979,4.01491,5.76469,,,
1540539686.0294986,4.01491,5.76469,,,
1540539686.126826,4.01491,5.76469,0,0,0
1540539686.2187176,4.01422,5.76469,,,
1540539686.3250785,4.01422,5.76572,,,
1540539686.4185765,4.01422,5.76572,,,
1540539686.5192113,4.01355,5.76572,,,
1540539686.6193302,4.01355,5.76675,,,
1540539686.7394788,4.01355,5.76675,,,
1540539686.830479,4.01355,5.76675,,,
1540539686.9315934,4.01286,5.76752,,,
1540539687.0195992,4.01286,5.76752,,,
1540539687.129954,4.01286,5.76752,0,0,0
1540539687.220204,4.01218,5.76752,,,
1540539687.3193371,4.01218,5.76881,,,
1540539687.4198475,4.01218,5.76881,,,
1540539687.5307145,4.01151,5.76881,,,
1540539687.6231046,4.01151,5.76984,,,
1540539687.7363157,4.01151,5.76984,,,
1540539687.8194494,4.01151,5.76984,,,
1540539687.9313412,4.01082,5.77087,,,
1540539688.0194542,4.01082,5.77087,,,
1540539688.1195717,4.01082,5.77087,0,0,0
1540539688.2202902,4.01021,5.77087,,,
1540539688.3265612,4.01021,5.7719,,,
1540539688.4415429,4.01021,5.7719,,,
1540539688.5433474,4.00961,5.7719,,,
1540539688.6216934,4.00961,5.77267,,,
1540539688.7213483,4.00961,5.77267,,,
1540539688.828587,4.00961,5.77267,,,
1540539688.921567,4.00893,5.7737,,,
1540539689.0213013,4.00893,5.7737,,,
1540539689.1220806,4.00893,5.7737,0,0,0
1540539689.2253494,4.00832,5.7737,,,
1540539689.361515,4.00832,5.77448,,,
1540539689.4447892,4.00832,5.77448,,,
1540539689.524066,4.00832,5.77448,,,
1540539689.637043,4.00764,5.7755,,,
1540539689.723577,4.00764,5.7755,,,
1540539689.82257,4.00764,5.7755,,,
1540539689.923809,4.00711,5.77602,,,
1540539690.0299435,4.00711,5.77602,,,
1540539690.1402924,4.00711,5.77602,0,0,0
1540539690.247127,4.00642,5.77602,,,
1540539690.32668,4.00642,5.77704,,,
1540539690.4245431,4.00642,5.77704,,,
1540539690.5287926,4.00642,5.77704,,,
1540539690.6238067,4.00583,5.77808,,,
1540539690.7246776,4.00583,5.77808,,,
1540539690.82504,4.00583,5.77808,,,
1540539690.9462934,4.00522,5.7791,,,
1540539691.0634172,4.00522,5.7791,0,0,0
1540539691.1261997,4.00522,5.7791,,,
1540539691.2260323,4.00468,5.7791,,,
1540539691.342657,4.00468,5.77962,,,
1540539691.4256608,4.00468,5.77962,,,
1540539691.5257778,4.00468,5.77962,,,
1540539691.6265256,4.00409,5.78064,,,
1540539691.7365534,4.00409,5.78064,,,
1540539691.8510103,4.00409,5.78064,,,
1540539691.9293358,4.00348,5.78116,,,
1540539692.0270245,4.00348,5.78116,,,
1540539692.1303055,4.00348,5.78116,0,0,0
1540539692.2433896,4.00294,5.78116,,,
1540539692.326328,4.00294,5.78192,,,
1540539692.426285,4.00294,5.78192,,,
1540539692.527899,4.00294,5.78192,,,
1540539692.651244,4.00241,5.78296,,,
1540539692.7297897,4.00241,5.78296,,,
1540539692.8264153,4.00241,5.78296,,,
1540539692.9279003,4.00182,5.78372,,,
1540539693.046788,4.00182,5.78372,,,
1540539693.127031,4.00182,5.78372,0,0,0
