Cell Model,VTC6
Cell Number,1
Power Level,34.73
Load,1
Temperature,60
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1541231036.5655854,4.19618,0.000366211,,,
1541231036.6882718,4.19618,0.000366211,0,0,0
1541231036.7661812,4.19618,0.000366211,,,
1541231036.8601534,4.05765,6.96729,,,
1541231036.9613214,4.05765,6.96729,,,
1541231037.0613096,4.05765,6.96729,,,
1541231037.1773813,4.00272,8.67487,,,
1541231037.2664428,4.00272,8.67487,,,
1541231037.360218,4.00272,8.67487,,,
1541231037.4597032,3.99727,8.67487,,,
1541231037.576343,3.99727,8.68666,,,
1541231037.6804497,3.99727,8.68666,0,0,0
1541231037.7681983,3.99727,8.68666,,,
1541231037.8618824,3.99304,8.69563,,,
1541231037.9630313,3.99304,8.69563,,,
1541231038.069934,3.99304,8.69563,,,
1541231038.2076766,3.98949,8.70332,,,
1541231038.2735503,3.98949,8.70332,,,
1541231038.367802,3.98949,8.70332,,,
1541231038.4854195,3.98637,8.70332,,,
1541231038.5723226,3.98637,8.70973,,,
1541231038.664077,3.98637,8.70973,0,0,0
1541231038.763453,3.98637,8.70973,,,
1541231038.8834794,3.98358,8.71638,,,
1541231038.9711626,3.98358,8.71638,,,
1541231039.066524,3.98358,8.71638,,,
1541231039.1662822,3.98108,8.72177,,,
1541231039.280068,3.98108,8.72177,,,
1541231039.384383,3.98108,8.72177,,,
1541231039.4724379,3.97873,8.72177,,,
1541231039.565193,3.97873,8.7269,,,
1541231039.7041557,3.97873,8.7269,0,0,0
1541231039.7813993,3.97873,8.7269,,,
1541231039.8723807,3.97655,8.73177,,,
1541231039.974606,3.97655,8.73177,,,
1541231040.071016,3.97655,8.73177,,,
1541231040.1895323,3.9745,8.73613,,,
1541231040.2976432,3.9745,8.73613,,,
1541231040.3763943,3.9745,8.73613,,,
1541231040.470531,3.97253,8.73613,,,
1541231040.5855215,3.97253,8.74022,,,
1541231040.6913295,3.97253,8.74022,0,0,0
1541231040.7780352,3.97253,8.74022,,,
1541231040.872024,3.97072,8.74432,,,
1541231040.9745538,3.97072,8.74432,,,
1541231041.080925,3.97072,8.74432,,,
1541231041.1727428,3.96906,8.74817,,,
1541231041.2759912,3.96906,8.74817,,,
1541231041.3710341,3.96906,8.74817,,,
1541231041.4940224,3.96739,8.74817,,,
1541231041.5841334,3.96739,8.75151,,,
1541231041.673868,3.96739,8.75151,0,0,0
1541231041.7749026,3.96739,8.75151,,,
1541231041.9135141,3.96581,8.7551,,,
1541231041.9943104,3.96581,8.7551,,,
1541231042.0754333,3.96581,8.7551,,,
1541231042.1751804,3.96428,8.75842,,,
1541231042.2761648,3.96428,8.75842,,,
1541231042.3820906,3.96428,8.75842,,,
1541231042.4817715,3.96284,8.75842,,,
1541231042.5868044,3.96284,8.76175,,,
1541231042.67317,3.96284,8.76175,0,0,0
1541231042.7995312,3.96284,8.76175,,,
1541231042.9020643,3.96149,8.76483,,,
1541231042.9913454,3.96149,8.76483,,,
1541231043.0851285,3.96149,8.76483,,,
1541231043.1963985,3.96013,8.76765,,,
1541231043.3037543,3.96013,8.76765,,,
1541231043.414498,3.96013,8.76765,,,
1541231043.5073411,3.95883,8.76765,,,
1541231043.5945175,3.95883,8.77048,,,
1541231043.6954973,3.95883,8.77048,0,0,0
1541231043.7913651,3.95883,8.77048,,,
1541231043.8919618,3.95763,8.77328,,,
1541231043.9863925,3.95763,8.77328,,,
1541231044.1126854,3.95763,8.77328,,,
1541231044.2128174,3.95642,8.77611,,,
1541231044.2950413,3.95642,8.77611,,,
1541231044.3883142,3.95642,8.77611,,,
1541231044.5011656,3.9552,8.77611,,,
1541231044.607901,3.9552,8.77867,,,
1541231044.6955194,3.9552,8.77867,0,0,0
1541231044.7939188,3.9552,8.77867,,,
1541231044.8989568,3.95407,8.78123,,,
1541231045.0091248,3.95407,8.78123,,,
1541231045.0969794,3.95407,8.78123,,,
1541231045.1948571,3.95294,8.78354,,,
1541231045.2940469,3.95294,8.78354,,,
1541231045.3985586,3.95294,8.78354,,,
1541231045.496056,3.95187,8.78354,,,
1541231045.609352,3.95187,8.78584,,,
1541231045.7066226,3.95187,8.78584,0,0,0
1541231045.8141458,3.95187,8.78584,,,
1541231045.9170165,3.95082,8.78816,,,
1541231045.9998832,3.95082,8.78816,,,
1541231046.093217,3.95082,8.78816,,,
1541231046.2031374,3.94983,8.79073,,,
1541231046.3103406,3.94983,8.79073,,,
1541231046.3989997,3.94983,8.79073,,,
1541231046.4906483,3.94878,8.79073,,,
1541231046.5951748,3.94878,8.79303,,,
1541231046.7008562,3.94878,8.79303,0,0,0
1541231046.7955956,3.94878,8.79303,,,
1541231046.894346,3.9478,8.79507,,,
1541231046.9911952,3.9478,8.79507,,,
1541231047.1343334,3.9478,8.79507,,,
1541231047.224322,3.94688,8.79507,,,
1541231047.3000133,3.94688,8.79713,,,
1541231047.391128,3.94688,8.79713,,,
1541231047.508624,3.94591,8.79713,,,
1541231047.6167479,3.94591,8.79918,0,0,0
1541231047.7005706,3.94591,8.79918,,,
1541231047.7934844,3.94591,8.79918,,,
1541231047.904747,3.94499,8.80122,,,
1541231048.0102842,3.94499,8.80122,,,
1541231048.1012762,3.94499,8.80122,,,
1541231048.1932292,3.94417,8.80122,,,
1541231048.3100097,3.94417,8.80328,,,
1541231048.405315,3.94417,8.80328,,,
1541231048.5053897,3.94325,8.80328,,,
1541231048.6055124,3.94325,8.80482,,,
1541231048.7316813,3.94325,8.80482,0,0,0
1541231048.8243375,3.94325,8.80482,,,
1541231048.92909,3.94241,8.80687,,,
1541231049.0121858,3.94241,8.80687,,,
1541231049.1032016,3.94241,8.80687,,,
1541231049.2195487,3.94159,8.80917,,,
1541231049.3229258,3.94159,8.80917,,,
