Cell Model,30Q
Cell Number,100
Power Level,34.73
Load,2
Temperature,60
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1543025261.315521,4.19536,0.192368,0,0,0
1543025261.409962,4.19536,0.192368,0,0,0
1543025261.5143337,4.19536,0.192368,,,
1543025261.6103945,3.98463,0.192368,,,
1543025261.7103958,3.98463,8.79715,,,
1543025261.83669,3.98463,8.79715,,,
1543025261.9321043,3.92801,8.79715,,,
1543025262.0381746,3.92801,8.8432,,,
1543025262.1159744,3.92801,8.8432,,,
1543025262.2116427,3.92801,8.8432,,,
1543025262.3217332,3.92029,8.85965,,,
1543025262.4358299,3.92029,8.85965,0,0,0
1543025262.5290363,3.92029,8.85965,,,
1543025262.6179214,3.91454,8.85965,,,
1543025262.7220836,3.91454,8.87225,,,
1543025262.82923,3.91454,8.87225,,,
1543025262.9185622,3.9097,8.87225,,,
1543025263.0197966,3.9097,8.88306,,,
1543025263.1169357,3.9097,8.88306,,,
1543025263.2231638,3.9097,8.88306,,,
1543025263.3384488,3.90546,8.89232,,,
1543025263.4149175,3.90546,8.89232,0,0,0
1543025263.5180526,3.90546,8.89232,,,
1543025263.639932,3.90175,8.89232,,,
1543025263.7175205,3.90175,8.90082,,,
1543025263.8116608,3.90175,8.90082,,,
1543025263.9119208,3.89835,8.90082,,,
1543025264.0322702,3.89835,8.90828,,,
1543025264.148954,3.89835,8.90828,,,
1543025264.2189865,3.89835,8.90828,,,
1543025264.3165922,3.89531,8.90828,,,
1543025264.416649,3.89531,8.91522,0,0,0
1543025264.5230782,3.89531,8.91522,,,
1543025264.6154616,3.89244,8.91522,,,
1543025264.7249668,3.89244,8.92191,,,
1543025264.817762,3.89244,8.92191,,,
1543025264.95797,3.88979,8.92191,,,
1543025265.0427656,3.88979,8.92757,,,
1543025265.1237175,3.88979,8.92757,,,
1543025265.2228503,3.88979,8.92757,,,
1543025265.3273835,3.88728,8.93349,,,
1543025265.4341269,3.88728,8.93349,0,0,0
1543025265.5177796,3.88728,8.93349,,,
1543025265.6182833,3.88495,8.93349,,,
1543025265.7510157,3.88495,8.93863,,,
1543025265.8298285,3.88495,8.93863,,,
1543025265.9174619,3.88275,8.93863,,,
1543025266.0175319,3.88275,8.94377,,,
1543025266.1168861,3.88275,8.94377,,,
1543025266.2455144,3.88275,8.94377,,,
1543025266.3508608,3.88063,8.94377,,,
1543025266.4222636,3.88063,8.94839,0,0,0
1543025266.5388584,3.88063,8.94839,,,
1543025266.6326222,3.87866,8.94839,,,
1543025266.7440636,3.87866,8.95303,,,
1543025266.8312895,3.87866,8.95303,,,
1543025266.9207842,3.87677,8.95303,,,
1543025267.0321233,3.87677,8.9574,,,
1543025267.1211305,3.87677,8.9574,,,
1543025267.2213242,3.87677,8.9574,,,
1543025267.3508985,3.87495,8.9574,,,
1543025267.4385734,3.87495,8.96152,0,0,0
1543025267.532671,3.87495,8.96152,,,
1543025267.6229749,3.87329,8.96152,,,
1543025267.7228456,3.87329,8.96538,,,
1543025267.8240578,3.87329,8.96538,,,
1543025267.9473853,3.87154,8.96538,,,
1543025268.0283709,3.87154,8.9695,,,
1543025268.144554,3.87154,8.9695,,,
1543025268.236384,3.87154,8.9695,,,
1543025268.3460522,3.86995,8.9731,,,
1543025268.4550538,3.86995,8.9731,0,0,0
1543025268.5359972,3.86995,8.9731,,,
1543025268.6323547,3.86844,8.9731,,,
1543025268.739106,3.86844,8.97644,,,
1543025268.8441167,3.86844,8.97644,,,
1543025268.9373913,3.86693,8.97644,,,
1543025269.0302427,3.86693,8.97978,,,
1543025269.1320212,3.86693,8.97978,,,
1543025269.2426212,3.86693,8.97978,,,
1543025269.3256621,3.86549,8.97978,,,
1543025269.4279113,3.86549,8.98312,0,0,0
1543025269.5359018,3.86549,8.98312,,,
1543025269.6437294,3.86412,8.98312,,,
1543025269.7387302,3.86412,8.98698,,,
1543025269.8268387,3.86412,8.98698,,,
1543025269.9271286,3.86412,8.98698,,,
1543025270.0559783,3.86276,8.99007,,,
1543025270.1595504,3.86276,8.99007,,,
1543025270.238449,3.86276,8.99007,,,
1543025270.3284607,3.8614,8.99007,,,
1543025270.4643373,3.8614,8.9929,0,0,0
1543025270.550263,3.8614,8.9929,,,
1543025270.6350498,3.86011,8.9929,,,
1543025270.730547,3.86011,8.99599,,,
1543025270.8368375,3.86011,8.99599,,,
