Cell Model,VTC6
Cell Number,8
Power Level,23.15
Load,1
Temperature,60
Time (s),Volts,Amps,Temp 1,Temp 2,Temp 3
1540590453.362909,4.19626,0.000106812,0,0,0
1540590453.4621344,4.19626,0.000106812,0,0,0
1540590453.5833857,4.11417,0.000106812,,,
1540590453.6658597,4.11417,4.38516,,,
1540590453.769495,4.11417,4.38516,,,
1540590453.8618336,4.11417,4.38516,,,
1540590453.970081,4.07724,5.67596,,,
1540590454.078456,4.07724,5.67596,,,
1540590454.16647,4.07724,5.67596,,,
1540590454.264135,4.0733,5.67596,,,
1540590454.3648574,4.0733,5.68135,,,
1540590454.4690049,4.0733,5.68135,0,0,0
1540590454.5653064,4.0733,5.68135,,,
1540590454.6768038,4.07028,5.68546,,,
1540590454.7812977,4.07028,5.68546,,,
1540590454.8809578,4.07028,5.68546,,,
1540590454.9960923,4.06778,5.6893,,,
1540590455.0739698,4.06778,5.6893,,,
1540590455.1664546,4.06778,5.6893,,,
1540590455.282209,4.06544,5.6893,,,
1540590455.3867197,4.06544,5.69237,,,
1540590455.4941733,4.06544,5.69237,0,0,0
1540590455.596066,4.0634,5.69237,,,
1540590455.692845,4.0634,5.69519,,,
1540590455.8073225,4.0634,5.69519,,,
1540590455.9085066,4.06151,5.69519,,,
1540590455.9864767,4.06151,5.69801,,,
1540590456.0803225,4.06151,5.69801,,,
1540590456.19532,4.06151,5.69801,,,
1540590456.306666,4.05977,5.69801,,,
1540590456.3956826,4.05977,5.70032,,,
1540590456.4854188,4.05977,5.70032,0,0,0
1540590456.5842917,4.05811,5.70032,,,
1540590456.687625,4.05811,5.70262,,,
1540590456.7834616,4.05811,5.70262,,,
1540590456.8872077,4.05811,5.70262,,,
1540590456.9824812,4.05652,5.70468,,,
1540590457.1243305,4.05652,5.70468,,,
1540590457.2125814,4.05652,5.70468,,,
1540590457.286293,4.05499,5.70468,,,
1540590457.3832295,4.05499,5.70699,,,
1540590457.4965107,4.05499,5.70699,0,0,0
1540590457.6042001,4.05363,5.70699,,,
1540590457.685457,4.05363,5.70903,,,
1540590457.783575,4.05363,5.70903,,,
1540590457.8867004,4.05363,5.70903,,,
1540590457.99634,4.05228,5.71083,,,
